Trading simulation for AUDUSD:
  Short position opened at 1.63356, closed at 1.63530, profit: -0.50, balance: 9932.89
  Short position opened at 1.63530, closed at 1.63692, profit: -0.50, balance: 9932.39
  Short position opened at 1.63553, closed at 1.63692, profit: -0.50, balance: 9931.89
  Short position opened at 1.63576, closed at 1.63692, profit: -0.50, balance: 9931.39
  Short position opened at 1.63588, closed at 1.63692, profit: -0.50, balance: 9930.89
  Short position opened at 1.63692, closed at 1.63796, profit: -0.50, balance: 9930.39
  Short position opened at 1.63692, closed at 1.63796, profit: -0.50, balance: 9929.89
  Short position opened at 1.63727, closed at 1.63843, profit: -0.50, balance: 9929.39
  Short position opened at 1.63773, closed at 1.63854, profit: -0.49, balance: 9928.90
  Short position opened at 1.63773, closed at 1.63866, profit: -0.50, balance: 9928.40
  Short position opened at 1.63796, closed at 1.63924, profit: -0.50, balance: 9927.90
  Short position opened at 1.63843, closed at 1.63924, profit: -0.49, balance: 9927.40
  Short position opened at 1.63854, closed at 1.63935, profit: -0.49, balance: 9926.91
  Short position opened at 1.63854, closed at 1.63935, profit: -0.49, balance: 9926.42
  Short position opened at 1.63866, closed at 1.63935, profit: -0.42, balance: 9925.99
  Short position opened at 1.63924, closed at 1.63935, profit: -0.07, balance: 9925.92
  Short position opened at 1.63924, closed at 1.63935, profit: -0.07, balance: 9925.85
  Short position opened at 1.63935, closed at 1.63947, profit: -0.07, balance: 9925.78
  Short position opened at 1.63935, closed at 1.63947, profit: -0.07, balance: 9925.71
  Short position opened at 1.63935, closed at 1.63958, profit: -0.14, balance: 9925.57
  Short position opened at 1.63935, closed at 1.63958, profit: -0.14, balance: 9925.43
  Short position opened at 1.63935, closed at 1.64005, profit: -0.42, balance: 9925.00
  Short position opened at 1.63947, closed at 1.64005, profit: -0.35, balance: 9924.65
  Short position opened at 1.63947, closed at 1.64005, profit: -0.35, balance: 9924.30
  Short position opened at 1.63958, closed at 1.64005, profit: -0.28, balance: 9924.02
  Short position opened at 1.63958, closed at 1.64039, profit: -0.49, balance: 9923.52
  Short position opened at 1.64005, closed at 1.64062, profit: -0.35, balance: 9923.17
  Short position opened at 1.64005, closed at 1.64074, profit: -0.42, balance: 9922.75
  Short position opened at 1.64005, closed at 1.64086, profit: -0.49, balance: 9922.25
  Short position opened at 1.64005, closed at 1.64097, profit: -0.50, balance: 9921.75
  Short position opened at 1.64039, closed at 1.64097, profit: -0.35, balance: 9921.40
  Short position opened at 1.64062, closed at 1.64155, profit: -0.50, balance: 9920.90
  Short position opened at 1.64074, closed at 1.64155, profit: -0.49, balance: 9920.40
  Short position opened at 1.64086, closed at 1.64190, profit: -0.50, balance: 9919.90
  Short position opened at 1.64097, closed at 1.64190, profit: -0.50, balance: 9919.40
  Short position opened at 1.64097, closed at 1.64190, profit: -0.50, balance: 9918.90
  Short position opened at 1.64155, closed at 1.64248, profit: -0.50, balance: 9918.40
  Short position opened at 1.64155, closed at 1.64248, profit: -0.50, balance: 9917.90
  Short position opened at 1.64190, closed at 1.64306, profit: -0.50, balance: 9917.40
  Short position opened at 1.64236, closed at 1.64317, profit: -0.49, balance: 9916.91
